number,bank_name,assets,loans,liabilities,deposits,equity,net_income,year,ROA,ROE,LDR,EAR,LDR_score,ROA_norm,ROE_norm,EAR_norm,health_score,category
1.0,"""Halyk Bank of Kazakhstan"", JSC",17941741778.0,11739618848.0,253627269.0,559180782.0,7026468274.0,5561631677.0,2025,0.3099828180461064,0.79152590748608,20.99431744776951,0.3916268755253067,0.7881955040074115,0.7062130704170011,0.04551570224207731,0.5175588113658817,0.4589682177366714,Moderate
2.0,"""Kaspi Bank"", JSC",8189804623.0,6047053230.0,328134361.0,298052878.0,6146194422.0,656322264.0,2025,0.0801389403303717,0.1067851452356806,20.288524877119286,0.7504689922320263,0.7956721303084788,0.37102255864578304,0.027983398865571777,1.0,0.409002904675246,Moderate
3.0,"""Bank CenterCredit"", JSC",7030812467.0,4009027342.0,41621006.0,173438301.0,2798970431.0,2472635939.0,2025,0.3516856623051215,0.8834090962928075,23.115005848679296,0.3981005672014889,0.7657305541992782,0.7670299947067263,0.04786830636639727,0.5262622922609649,0.47901333234462967,Moderate
5.0,"""ForteBank"", JSC",4112145508.0,1899076280.0,23428188.0,88248794.0,1088239686.0,1829009346.0,2025,0.4447822535563836,1.6807045079589205,21.519572040837183,0.2646403644722389,0.7826313588625167,0.9027964740047311,0.06828249200956842,0.3468332457740029,0.5092973288004827,Moderate
6.0,"""First Heartland Jusan Bank"", JSC ",3326262915.0,1347872534.0,142101625.0,191823987.0,824223493.0,868886826.0,2025,0.2612201284756229,1.0541883765499511,7.026610983745218,0.2477926472026941,0.9361586958249504,0.6351004915877916,0.052240989163970505,0.32418252456021135,0.429620701320891,Moderate
7.0,"""Eurasian Bank"", JSC",3142702412.0,1612781668.0,92562268.0,179979939.0,1193794922.0,1052534383.0,2025,0.3349137923403229,0.8816710170258204,8.960896847509211,0.3798625404179694,0.9156683518284453,0.7425709065085448,0.047823804074900736,0.5017423852875779,0.4892497592716094,Moderate
8.0,"""Freedom Bank Kazakhstan"", JSC",2547968765.0,796886724.0,11149970.0,21340801.0,585892179.0,467756420.0,2025,0.1835801232830262,0.7983660420222131,37.34099408920968,0.2299448042880541,0.6150313229225354,0.5218749694069805,0.045690839053605034,0.3001871958364894,0.33593081077505865,Weak
9.0,"""Bank RBK"" Bank"", JSC",2452692704.0,1124221963.0,39467414.0,51534418.0,639381506.0,1010343767.0,2025,0.4119324713415056,1.5801892258672867,21.814973499846257,0.2606855334780659,0.7795021018971646,0.8548903238753112,0.06570886923616454,0.34151621837714563,0.49036246563016295,Moderate
10.0,"""Bereke Bank"" JSC",2445232022.0,1371587483.0,44941489.0,164860645.0,652730071.0,857293183.0,2025,0.3505978881704666,1.3133961818039177,8.319678010479699,0.2669399325410928,0.922460933418328,0.7654436502171096,0.05887782186009215,0.3499248738210798,0.4793703863129317,Moderate
12.0," ""Home Credit Bank"", Joint Stock Company",1036276926.0,773711570.0,51018598.0,40442503.0,458539956.0,64348853.0,2025,0.0620961939665922,0.140334232945231,19.131149474106486,0.4424878567642641,0.8079324795076805,0.3447101006088835,0.02884239955043788,0.5859382771577262,0.3398239885555735,Weak
13.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",1002473946.0,582913261.0,2064977.0,19487314.0,361595454.0,424752568.0,2025,0.4237043463272211,1.17466235623637,29.912447708288585,0.3607030940233533,0.6937236576960879,0.872057719588365,0.05532564028638297,0.4759836862334621,0.5000402775455943,Moderate
15.0,"""Nurbank"", JSC",533793102.0,276166156.0,24360107.0,40439858.0,165959128.0,218200544.0,2025,0.4087736300496442,1.3147848306361312,6.829058499661398,0.3109053439959964,0.9382514156406061,0.85028365938746,0.058913377232215444,0.40903366951026376,0.5203117255895169,Moderate
17.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",358221019.0,38808750.0,0.0,1483769.0,12325789.0,177420415.0,2025,0.4952819784145609,14.394244052044051,26.15552016520092,0.0344083354863104,0.7335216726482375,0.9764422408084615,0.3938036885913926,0.037300421854128275,0.5952093894653038,Moderate
18.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",295840718.0,176800544.0,1114088.0,6407439.0,37680442.0,133419111.0,2025,0.4509829204781743,3.540805359979589,27.59301243445314,0.1273673287934624,0.7182939797611181,0.9118391543645203,0.11590905996989254,0.16227807954080103,0.49179768391233236,Moderate
19.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",244400004.0,68420179.0,7974710.0,11218861.0,36703676.0,62012284.0,2025,0.2537327454380892,1.6895387808022282,6.098674277183753,0.1501787045797266,0.9459885470794227,0.6241813416973516,0.06850868732338421,0.19294657338902818,0.41328177822752515,Moderate
21.0,"""Islamic bank ""Zaman-Bank"", JSC",52017533.0,18723044.0,3434858.0,7718820.0,346650.0,13196902.0,2025,0.2537010357642297,38.06981681811626,2.4256355246009105,0.0066640991990143,0.9848979083909208,0.6241350982127971,0.9999999999999999,0.0,0.716181970633117,Strong
1.0,"""Halyk Bank of Kazakhstan"", JSC",20269148985.0,13232858549.0,495446762.0,586017723.0,7767891158.0,6138166898.0,2026,0.3028329853681817,0.7901973358211155,22.580986938854068,0.3832371632251831,0.771387541807958,0.6957861837049863,0.04548168510337064,0.5062793584089202,0.4510937891154566,Moderate
2.0,"""Kaspi Bank"", JSC",9484289736.0,8068150446.0,490759454.0,364489032.0,7046825772.0,886986061.0,2026,0.0935216116008373,0.1258702981595441,22.135509542575207,0.7429998416488697,0.7761065883891385,0.3905390429506693,0.028472060720532027,0.9899581857377953,0.4115636024039605,Moderate
3.0,"""Bank CenterCredit"", JSC",8571447512.0,4729303893.0,53898525.0,210586850.0,3332945439.0,3118332382.0,2026,0.3638046406554254,0.9356085897810582,22.457736050470388,0.3888427753111579,0.7726931673869726,0.7847035851271187,0.049204837512766025,0.513815759605633,0.4848442869728504,Moderate
5.0,"""ForteBank"", JSC",5171612588.0,2980156945.0,101106539.0,114556140.0,1362019533.0,2385739679.0,2026,0.4613144620569169,1.7516192838623557,26.014816359908775,0.2633645714608195,0.7350121810710428,0.9269060543123508,0.07009821473787485,0.34511802041938455,0.5109710243911431,Moderate
6.0,"""Alatau City Bank"", JSC ",3351695235.0,1198300133.0,143258650.0,80115249.0,752419016.0,815406378.0,2026,0.2432817785713742,1.0837131447512485,14.957204127269204,0.224489090816755,0.8521480618998718,0.6089402790796613,0.052996949991430134,0.2928523241216068,0.40342808807810376,Moderate
7.0,"""Eurasian Bank"", JSC",3026705170.0,1598068946.0,73876590.0,127822720.0,1117368895.0,1008811519.0,2026,0.3333035305186332,0.902845536075174,12.502229228105929,0.3691700486968805,0.8781541870176732,0.7402225973455514,0.04836596267314862,0.48736698681784185,0.4808341720818722,Moderate
8.0,"""Bereke Bank"" JSC (SB of Lesha Bank LLC (Public))",2798005998.0,1558317540.0,98286084.0,157621820.0,847829549.0,1078426300.0,2026,0.3854267291674333,1.2719848008033985,9.886432855552613,0.303012055587452,0.905863931736651,0.8162359408545402,0.057817512711042754,0.39842162798905517,0.50156154270681,Moderate
9.0,"""Bank RBK"" Bank"", JSC",2727035219.0,1565454093.0,59625741.0,83646473.0,802715659.0,1209740625.0,2026,0.4436101949000901,1.5070599550867865,18.715123744667633,0.2943547092488063,0.8123395376717778,0.9010872140290759,0.06383644593130292,0.3867823575032916,0.517591565262393,Moderate
10.0,"""Freedom Bank Kazakhstan"", JSC",2589541185.0,1078945081.0,15695944.0,28906949.0,882280022.0,589595061.0,2026,0.2276832144687438,0.6682629622095194,37.32476509368042,0.3407090132841428,0.6152032404799874,0.5861922697073025,0.04235964162642496,0.44910287255975706,0.3796390859227663,Moderate
11.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",1332565667.0,809477728.0,2201161.0,18031706.0,372350853.0,606842008.0,2026,0.4553936988082404,1.6297586083413644,44.89191028292054,0.2794240180585412,0.5350426960104615,0.918271568664425,0.0669780582484637,0.36670896012433346,0.4801001178397303,Moderate
12.0," ""Home Credit Bank"", Joint Stock Company",1265943242.0,952377671.0,66817412.0,46793170.0,557721434.0,37227145.0,2026,0.0294066461788497,0.0667486360224771,20.35292054374602,0.4405580088400203,0.7949899719027412,0.29703762674775797,0.026958292337145976,0.583343715139756,0.32014862473609096,Weak
15.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",616891721.0,162111949.0,0.0,1818592.0,10560948.0,315500509.0,2026,0.5114357970124226,29.874260246333947,89.14146163625486,0.0171196137676809,0.06629681624867578,1.0,0.7901585649968111,0.014056797241588674,0.6386085397724235,Strong
17.0,"""Nurbank"", JSC",564331948.0,364679020.0,21037809.0,34752382.0,155298373.0,233183149.0,2026,0.4132021052970759,1.501517012029482,10.493640982652645,0.2751897594144359,0.899431633576987,0.8567418818091538,0.06369452279098925,0.36101625941240445,0.5112199255584587,Moderate
18.0,"""KMF Bank"", JSC",404560975.0,332360804.0,22092519.0,34209070.0,4718000.0,120.0,2026,2.9661783368996476e-07,2.543450614667232e-05,9.715575547654469,0.0116620244945771,0.9076738632874803,0.2541531720620828,0.02524989190923595,0.00671940362637676,0.23495006242704014,Weak
19.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",307038224.0,189586869.0,1199283.0,6957121.0,49235893.0,112590173.0,2026,0.3666975776931279,2.286749891994444,27.250764935668073,0.160357535809613,0.7219194878173074,0.7889224708152061,0.0837998558333918,0.206631386873355,0.44473544553060856,Moderate
20.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",266974504.0,44794672.0,4847778.0,8006562.0,38581286.0,48310131.0,2026,0.1809540996469086,1.2521648708132749,5.594744910487173,0.144512998140077,0.9513267890978288,0.5180453341986753,0.0573100374084977,0.18532937902432517,0.3718728052808336,Moderate
21.0,"""ADCB"" Islamic Bank"", JSC",256180252.0,168707582.0,121227.0,1787159.0,6741578.0,11568099.0,2026,0.0451560918911111,1.7159334209290469,94.39987264703365,0.0263157598892517,0.010593234630083215,0.3200056728008921,0.06918450343325945,0.02642045094662373,0.14176861451845907,Weak
22.0,"""Islamic bank ""Zaman-Bank"", JSC",44956899.0,20342432.0,4297297.0,6351172.0,1319335.0,15644951.0,2026,0.3479988911156884,11.858209628335487,3.2029414413591697,0.0293466637901337,0.9766637244353487,0.7616534289523934,0.3288703191457152,0.0304953151069318,0.53275716776568,Moderate
23.0,"""BNK Commercial Bank"" JSC",23340202.0,13398850.0,581214.0,2108068.0,333426.0,30956.0,2026,0.0013262952908462,0.0928421898712158,6.355985670291471,0.0142854804769898,0.943262787119239,0.25608692891578816,0.027626399345619904,0.010246479082569362,0.2423260548217641,Weak
